iter	Passed	Remaining
0	87	87254
1	170	84863
2	257	85716
3	339	84607
4	424	84385
5	505	83691
6	590	83832
7	676	83848
8	759	83607
9	862	85415
10	1073	96526
11	1157	95278
12	1232	93610
13	1317	92810
14	1390	91325
15	1469	90373
16	1554	89912
17	1634	89157
18	1711	88392
19	1790	87756
20	1871	87228
21	1984	88233
22	2086	88620
23	2187	88953
24	2281	88971
25	2376	89026
26	2472	89116
27	2564	89038
28	2664	89200
29	2780	89901
30	2897	90562
31	3004	90878
32	3107	91055
33	3209	91200
34	3304	91101
35	3393	90879
36	3489	90833
37	3572	90444
38	3654	90054
39	3724	89394
40	3800	88895
41	3889	88727
42	3967	88303
43	4048	87962
44	4157	88239
45	4230	87739
46	4308	87369
47	4382	86914
48	4460	86566
49	4529	86051
50	4599	85592
51	4680	85322
52	4748	84850
53	4822	84479
54	4896	84125
55	4974	83852
56	5041	83403
57	5117	83118
58	5187	82728
59	5258	82384
60	5360	82509
61	5434	82218
62	5502	81833
63	5598	81882
64	5692	81883
65	5768	81633
66	5839	81322
67	5909	80992
68	5973	80600
69	6052	80408
70	6121	80095
71	6190	79793
72	6260	79495
73	6322	79116
74	6391	78830
75	6475	78729
76	6566	78717
77	6668	78821
78	6730	78469
79	6803	78236
80	6873	77986
81	6942	77725
82	7021	77572
83	7091	77332
84	7159	77071
85	7228	76827
86	7306	76676
87	7388	76568
88	7468	76450
89	7547	76310
90	7640	76323
91	7729	76285
92	7801	76085
93	7876	75917
94	7954	75776
95	8032	75635
96	8119	75588
97	8189	75379
98	8268	75254
99	8346	75117
100	8424	74987
101	8501	74844
102	8572	74653
103	8647	74500
104	8724	74366
105	8799	74212
106	8865	73988
107	8945	73880
108	9015	73698
109	9099	73622
110	9168	73432
111	9252	73356
112	9336	73283
113	9408	73124
114	9485	72997
115	9555	72821
116	9660	72910
117	9759	72944
118	9848	72912
119	9933	72844
120	10018	72776
121	10088	72606
122	10164	72473
123	10236	72318
124	10303	72122
125	10377	71985
126	10443	71791
127	10513	71621
128	10578	71425
129	10650	71278
130	10714	71072
131	10784	70913
132	10859	70792
133	10928	70626
134	11003	70502
135	11076	70367
136	11144	70203
137	11234	70174
138	11328	70172
139	11410	70093
140	11481	69949
141	11559	69843
142	11633	69720
143	11712	69622
144	11783	69480
145	11874	69455
146	11973	69477
147	12058	69419
148	12130	69283
149	12195	69109
150	12276	69025
151	12347	68887
152	12419	68754
153	12489	68613
154	12566	68507
155	12640	68387
156	12718	68288
157	12794	68181
158	12864	68045
159	12930	67885
160	13009	67795
161	13085	67691
162	13157	67561
163	13222	67402
164	13291	67262
165	13354	67093
166	13419	66937
167	13490	66812
168	13558	66668
169	13633	66562
170	13705	66442
171	13785	66361
172	13853	66222
173	13924	66101
174	14023	66109
175	14102	66027
176	14183	65950
177	14249	65802
178	14316	65665
179	14383	65525
180	14451	65392
181	14525	65285
182	14599	65177
183	14684	65123
184	14762	65033
185	14833	64915
186	14904	64797
187	14974	64675
188	15049	64579
189	15116	64445
190	15187	64326
191	15248	64172
192	15322	64070
193	15402	63991
194	15468	63855
195	15536	63731
196	15604	63607
197	15668	63464
198	15737	63346
199	15804	63217
200	15868	63080
201	15943	62985
202	16037	62963
203	16131	62943
204	16234	62960
205	16334	62958
206	16418	62897
207	16504	62843
208	16584	62766
209	16665	62692
210	16747	62625
211	16823	62531
212	16898	62437
213	16968	62322
214	17045	62235
215	17119	62136
216	17203	62075
217	17279	61984
218	17380	61982
219	17459	61900
220	17529	61789
221	17606	61701
222	17674	61584
223	17743	61469
224	17810	61348
225	17886	61256
226	17980	61227
227	18049	61113
228	18115	60989
229	18184	60878
230	18257	60779
231	18328	60672
232	18398	60563
233	18473	60473
234	18568	60445
235	18634	60324
236	18706	60223
237	18787	60152
238	18865	60068
239	18942	59983
240	19015	59886
241	19082	59770
242	19159	59685
243	19231	59586
244	19299	59472
245	19370	59372
246	19446	59283
247	19511	59164
248	19577	59046
249	19653	58960
250	19753	58944
251	19826	58851
252	19899	58756
253	19970	58653
254	20047	58571
255	20113	58453
256	20182	58349
257	20252	58244
258	20322	58141
259	20392	58040
260	20459	57928
261	20532	57836
262	20599	57726
263	20677	57646
264	20738	57519
265	20813	57433
266	20880	57324
267	20947	57215
268	21016	57112
269	21081	56997
270	21149	56892
271	21215	56781
272	21287	56687
273	21365	56611
274	21430	56498
275	21512	56432
276	21586	56343
277	21677	56300
278	21765	56247
279	21833	56142
280	21905	56050
281	21974	55949
282	22050	55866
283	22118	55763
284	22182	55651
285	22249	55545
286	22318	55445
287	22392	55358
288	22471	55285
289	22542	55189
290	22622	55117
291	22695	55027
292	22771	54946
293	22840	54848
294	22910	54753
295	22975	54644
296	23043	54544
297	23119	54463
298	23186	54360
299	23263	54282
300	23335	54190
301	23405	54096
302	23482	54017
303	23598	54028
304	23696	53997
305	23770	53910
306	23839	53814
307	23907	53714
308	23974	53612
309	24037	53503
310	24106	53407
311	24180	53321
312	24249	53225
313	24316	53124
314	24388	53035
315	24453	52930
316	24521	52832
317	24591	52739
318	24661	52646
319	24731	52555
320	24796	52450
321	24878	52384
322	24938	52271
323	25002	52166
324	25079	52087
325	25146	51989
326	25215	51896
327	25287	51808
328	25358	51718
329	25438	51647
330	25511	51562
331	25587	51482
332	25682	51442
333	25768	51383
334	25846	51306
335	25913	51209
336	25985	51122
337	26063	51046
338	26135	50960
339	26221	50899
340	26289	50805
341	26357	50711
342	26421	50609
343	26488	50512
344	26562	50429
345	26629	50335
346	26702	50249
347	26782	50178
348	26850	50084
349	26917	49990
350	26979	49884
351	27050	49796
352	27118	49704
353	27192	49621
354	27259	49528
355	27350	49475
356	27449	49439
357	27512	49337
358	27597	49275
359	27673	49198
360	27740	49102
361	27814	49021
362	27888	48939
363	27950	48837
364	28020	48748
365	28093	48664
366	28162	48574
367	28229	48480
368	28308	48408
369	28371	48307
370	28449	48233
371	28516	48140
372	28593	48065
373	28654	47962
374	28725	47875
375	28793	47784
376	28864	47698
377	28935	47613
378	29051	47602
379	29118	47509
380	29185	47416
381	29257	47333
382	29330	47250
383	29404	47169
384	29474	47082
385	29548	47002
386	29631	46935
387	29715	46871
388	29788	46788
389	29865	46713
390	29936	46626
391	30012	46549
392	30078	46457
393	30143	46362
394	30211	46272
395	30288	46197
396	30362	46117
397	30429	46026
398	30505	45948
399	30574	45861
400	30635	45762
401	30706	45677
402	30770	45583
403	30838	45493
404	30937	45451
405	31012	45373
406	31081	45286
407	31151	45200
408	31218	45110
409	31291	45029
410	31366	44950
411	31432	44859
412	31496	44766
413	31572	44689
414	31648	44613
415	31711	44518
416	31770	44418
417	31843	44337
418	31920	44261
419	31986	44172
420	32058	44090
421	32128	44005
422	32239	43976
423	32373	43979
424	32444	43895
425	32513	43809
426	32583	43724
427	32658	43646
428	32731	43566
429	32810	43492
430	32875	43402
431	32950	43323
432	33030	43252
433	33095	43161
434	33164	43076
435	33233	42990
436	33303	42905
437	33375	42824
438	33437	42730
439	33547	42697
440	33624	42621
441	33691	42534
442	33768	42458
443	33842	42378
444	33914	42297
445	33981	42210
446	34052	42128
447	34129	42052
448	34190	41958
449	34262	41875
450	34343	41805
451	34404	41711
452	34477	41631
453	34546	41546
454	34616	41463
455	34690	41384
456	34762	41304
457	34840	41230
458	34914	41152
459	34989	41074
460	35056	40987
461	35120	40898
462	35181	40804
463	35255	40726
464	35328	40646
465	35410	40577
466	35485	40500
467	35558	40421
468	35637	40348
469	35747	40310
470	35815	40225
471	35891	40149
472	35962	40068
473	36036	39990
474	36097	39897
475	36162	39808
476	36225	39718
477	36300	39641
478	36364	39553
479	36437	39474
480	36503	39386
481	36573	39305
482	36652	39232
483	36722	39150
484	36795	39071
485	36869	38994
486	36938	38911
487	37018	38839
488	37091	38760
489	37156	38673
490	37226	38590
491	37294	38507
492	37365	38426
493	37433	38342
494	37503	38261
495	37585	38191
496	37663	38118
497	37752	38055
498	37822	37974
499	37887	37887
500	37977	37825
501	38047	37744
502	38112	37658
503	38175	37569
504	38250	37493
505	38313	37405
506	38415	37355
507	38490	37278
508	38560	37196
509	38619	37104
510	38681	37016
511	38755	36938
512	38828	36860
513	38894	36775
514	38973	36703
515	39043	36622
516	39107	36535
517	39182	36459
518	39256	36382
519	39329	36303
520	39404	36228
521	39474	36147
522	39558	36078
523	39660	36027
524	39755	35969
525	39839	35901
526	39922	35831
527	39992	35750
528	40059	35667
529	40134	35590
530	40203	35509
531	40281	35435
532	40350	35354
533	40422	35275
534	40498	35200
535	40569	35119
536	40646	35045
537	40719	34966
538	40783	34881
539	40842	34792
540	40912	34711
541	40980	34629
542	41046	34545
543	41112	34461
544	41181	34380
545	41253	34302
546	41320	34219
547	41394	34142
548	41464	34062
549	41535	33983
